-1 73091
stream uID   dID     length      uB     uBT    dB    dBT
405 1227	1194	1050.032	-1	-1	-1	-1
406 1209	1227	518.746	-1	-1	-1	-1
407 1311	1227	1037.925	-1	-1	-1	-1
408 1194	1190	43.328	-1	-1	-1	-1
409 1183	1167	126.538	-1	-1	-1	-1
410 1157	1152	122.613	-1	-1	-1	-1
411 735	775	2269.341	22432	1	-1	-1
412 736	735	36.808	-1	-1	22432	1
413 757	736	698.647	-1	-1	-1	-1
414 732	757	974.772	22439	1	-1	-1
415 682	732	2382.951	22464	1	22439	1
416 671	682	147.387	-1	-1	22464	1
417 622	671	1139.155	-1	-1	-1	-1
418 537	671	2857.915	-1	-1	-1	-1
419 795	757	1093.838	14	1	-1	-1
420 796	795	14.225	22408	1	14	1
421 827	796	951.282	-1	-1	22408	1
422 842	827	320.792	22420	1	-1	-1
423 880	842	1412.003	-1	-1	22420	1
424 893	880	590.298	-1	-1	-1	-1
425 894	893	776.556	-1	-1	-1	-1
426 909	894	328.642	22417	1	-1	-1
427 927	909	373.514	22445	1	22417	1
428 935	927	399.022	-1	-1	22445	1
429 859	894	952.463	-1	-1	-1	-1
430 844	859	448.621	-1	-1	-1	-1
431 837	859	308.677	-1	-1	-1	-1
432 828	837	1585.375	22467	1	-1	-1
433 833	828	191.823	22440	1	22467	1
434 862	833	445.935	22460	1	22440	1
435 902	862	891.147	-1	-1	22460	1
436 899	902	83.875	22461	1	-1	-1
437 881	899	2320.368	22451	1	22461	1
438 872	881	653.421	22471	1	22451	1
439 869	872	106.311	22472	1	22471	1
440 866	869	94.39	22470	1	22472	1
441 850	866	321.166	22473	1	22470	1
442 852	850	1245.878	22449	1	22473	1
443 856	852	976.079	-1	-1	22449	1
444 972	902	1203.292	22423	1	-1	-1
445 989	972	160.882	22421	1	22423	1
446 1017	989	522.311	22422	1	22421	1
447 1042	1017	712.661	22442	1	22422	1
448 1039	1042	394.763	-1	-1	22442	1
449 1049	1039	239.582	22454	1	-1	-1
450 1053	1049	455.992	22453	1	22454	1
451 1046	1053	516.902	22443	1	22453	1
452 1044	1046	502.079	30010	2	22443	1
453 1022	1044	1062.32	-1	-1	30010	2
454 1162	1022	2828.251	-1	-1	-1	-1
455 1133	1162	649.953	17986	1	-1	-1
456 1127	1133	142.568	17955	1	17986	1
457 1121	1127	439.353	17956	1	17955	1
458 1104	1121	743.969	-1	-1	17956	1
459 1208	1162	427.948	17957	1	-1	-1
460 1212	1208	10.731	29830	2	17957	1
461 1349	1212	1127.332	17989	1	29830	2
462 1394	1349	810.023	-1	-1	17989	1
463 1001	1022	594.643	22429	1	-1	-1
464 945	1001	1198.922	-1	-1	22429	1
465 1012	1039	954.057	22444	1	-1	-1
466 970	1012	417.834	-1	-1	22444	1
467 792	837	4273.771	-1	-1	-1	-1
468 806	792	351.991	22468	1	-1	-1
469 768	806	1081.361	-1	-1	22468	1
470 776	768	222.347	-1	-1	-1	-1
471 745	776	833.27	-1	-1	-1	-1
472 701	745	1442.489	22446	1	-1	-1
473 711	701	482.63	-1	-1	22446	1
474 707	711	63.628	-1	-1	-1	-1
475 704	707	143.938	-1	-1	-1	-1
476 751	704	1350.05	22424	1	-1	-1
477 809	751	962.65	-1	-1	22424	1
478 704	707	154.009	-1	-1	-1	-1
479 658	711	465.497	-1	-1	-1	-1
480 656	658	2022.269	22448	1	-1	-1
481 659	656	2671.29	-1	-1	22448	1
482 653	659	122.695	-1	-1	-1	-1
483 650	659	126.58	-1	-1	-1	-1
484 668	650	1849.157	11963	1	-1	-1
485 680	668	204.701	-1	-1	11963	1
486 708	680	202.861	11979	1	-1	-1
487 713	708	102.528	11980	1	11979	1
488 716	713	5.572	30807	2	11980	1
489 743	716	688.611	11952	1	30807	2
490 753	743	716.206	-1	-1	11952	1
491 769	753	404.723	11953	1	-1	-1
492 853	769	1194.362	-1	-1	11953	1
493 774	753	724.401	-1	-1	-1	-1
494 688	680	1991.127	-1	-1	-1	-1
495 679	688	124.425	-1	-1	-1	-1
496 675	679	135.013	-1	-1	-1	-1
497 695	675	233.195	11993	1	-1	-1
498 714	695	167.445	11976	1	11993	1
499 748	714	430.529	30545	2	11976	1
500 770	748	566.468	11999	1	30545	2
501 789	770	430.471	-1	-1	11999	1
502 674	675	479.026	11975	1	-1	-1
503 664	674	784.206	11937	1	11975	1
504 689	664	437.677	11974	1	11937	1
505 696	689	304.144	-1	-1	11974	1
506 739	696	561.214	-1	-1	-1	-1
507 750	739	167.607	-1	-1	-1	-1
508 782	750	459.492	11971	1	-1	-1
509 805	782	583.187	-1	-1	11971	1
510 801	805	261.302	11938	1	-1	-1
511 802	801	1183.785	-1	-1	11938	1
512 888	805	1727.073	11946	1	-1	-1
513 911	888	394.843	-1	-1	11946	1
514 919	911	140.697	11948	1	-1	-1
515 948	919	492.772	11947	1	11948	1
516 952	948	174.402	30595	2	11947	1
517 957	952	129.687	-1	-1	30595	2
518 920	911	223.824	30808	2	-1	-1
